time;lane_ids;laneDensity;inflow;outflow
29100;105_1;3.92;72;84
29100;106_0;3.26;144;144
29100;107_0;0.79;36;36
29100;107_1;3.42;108;108
29100;108_0;0.9;12;12
29100;108_1;32.56;108;108
29100;109_0;3.34;132;132
29100;109_1;0.63;24;24
29100;11_0;4.15;84;72
29100;11_1;8.74;144;144
29100;110_0;4.8;156;144
29100;110_1;0.58;24;36
29100;111_0;2.1;144;36
29100;111_1;1.09;12;108
29100;112[0]_0;3.54;36;192
29100;112[0]_1;0.88;144;12
29100;112[1]_0;1.5;24;24
29100;112[1]_1;1.59;12;12
29100;113[0]_0;2.69;120;120
29100;113[0]_1;1.41;60;60
29100;113[0]_2;0.88;48;36
29100;113[1][0]_0;6.23;264;228
29100;113[1][0]_1;1.32;60;108
29100;113[1][0]_2;0.08;36;0
29100;114_0;3.61;108;144
29100;114_1;5.08;228;204
29100;115_0;8.4;108;108
29100;115_1;2.51;60;60
29100;116_0;23.5;1584;324
29100;116_1;21.46;0;324
29100;116_2;32.75;0;216
29100;116_3;53.06;0;108
29100;116_4;89.51;0;192
29100;117_0;6.3;252;264
29100;117_1;5.04;240;228
29100;117_2;1.65;96;60
29100;117_3;1.58;24;312
29100;117_4;10.55;492;240
29100;118_0;51.75;864;252
29100;118_1;75.33;0;504
29100;119_0;2.91;72;156
29100;119_1;0.29;72;0
29100;12_0;5.82;216;228
29100;12_1;2.99;144;132
29100;12_2;4.63;252;204
29100;12_3;9.78;72;192
29100;120.0.24_0;4.7;72;240
29100;120.0.24_1;0.66;204;0
29100;121_0;11.69;600;96
29100;121_1;34.64;0;264
29100;122[0]_0;2.64;0;336
29100;122[0]_1;3.65;0;168
29100;122[0]_2;9.16;696;240
29100;122[1]_0;9.84;336;528
29100;122[1]_1;11.21;540;528
29100;122[1]_2;8.83;528;276
29100;123_0;68.25;1608;36
29100;123_1;57.19;0;264
29100;123_2;54.42;0;636
29100;125_0;0.52;24;24
29100;125_1;;0;0
29100;126_0;2.36;36;48
29100;127_0;6.09;240;252
29100;127_1;6.45;132;252
29100;127_2;8.59;360;216
29100;128_0;4.29;192;192
29100;128_1;3.9;180;168
29100;129_0;27.66;768;288
29100;129_1;79.37;0;528
29100;13.1_0;2.25;0;192
29100;13.1_1;2.66;0;168
29100;13.1_2;4.2;0;252
29100;13.1_3;4.28;564;72
29100;130_0;1.77;72;84
29100;130_1;6.5;300;276
29100;131_0;32.06;672;264
29100;131_1;69.44;0;492
29100;132_0;36.67;888;360
29100;132_1;65.46;0;492
29100;133_0;0.81;36;36
29100;133_1;;0;0
29100;134.7_0;2.75;48;108
29100;134.7_1;1.12;108;36
29100;134.7_2;2.12;120;132
29100;135.7_0;3.5;132;180
29100;135.7_1;1.77;108;60
29100;135.7_2;0.29;12;12
29100;136_0;10.83;1140;156
29100;136_1;33.7;0;1008
29100;137.5_0;0.27;12;12
29100;137.5_1;;0;0
29100;138_0;8.76;348;288
29100;139_0;2.28;96;96
29100;14.3_0;0.44;0;24
29100;14.3_1;2.83;96;72
29100;140_0;8.43;300;444
29100;140_1;8.22;360;384
29100;140_2;8.28;360;396
29100;140_3;11.79;588;396
29100;141_0;76.58;876;372
29100;141_1;66;0;372
29100;142_0;5.14;768;108
29100;142_1;13.4;0;360
29100;142_2;5.2;0;276
29100;143.4_0;19.2;60;288
29100;143.4_1;5.98;252;108
29100;143.4_2;1.55;84;96
29100;144_0;;0;0
29100;144_1;;0;0
29100;144_2;4.61;192;228
29100;144.283_0;13.04;108;324
29100;144.283_1;13.07;504;264
29100;144.283_2;7.37;276;276
29100;144.312_0;2.77;84;132
29100;144.312_1;2.94;144;96
29100;144.312_2;;0;0
29100;145_0;62.07;648;564
29100;145_1;1.47;0;36
29100;145_2;0.06;0;0
29100;146_0;8.32;336;276
29100;146_1;8.84;228;288
29100;147_0;48.18;1020;384
29100;147_1;63.47;0;312
29100;147_2;68.35;0;312
29100;148_0;6.6;288;312
29100;148_1;3.04;156;120
29100;148_2;0.44;24;24
29100;149_0;28.4;348;408
29100;149_1;44.19;360;288
29100;149_2;53.54;432;576
29100;15_0;2.48;96;72
29100;15_1;0.61;0;36
29100;150_0;6.82;312;180
29100;150_1;1.85;48;108
29100;150_2;0.3;12;24
29100;151_0;32.1;216;300
29100;151_1;53.31;552;72
29100;151_2;52.8;552;276
29100;151_3;62.11;168;120
29100;152_0;7.37;192;276
29100;152_1;2.14;204;36
29100;152_2;0.02;0;48
29100;152_3;;0;0
29100;153_0;5.82;312;48
29100;153_1;10.53;312;612
29100;153_2;5.63;396;264
29100;154.7_0;8.72;360;228
29100;154.7_1;2.03;72;180
29100;154.7_2;0.05;12;0
29100;155[0].4_0;0.3;24;12
29100;155[0].4_1;24;624;312
29100;155[0].4_2;6.68;108;252
29100;155[0].4_3;6.44;168;156
29100;155[1]_0;;0;0
29100;155[1]_1;16.49;552;528
29100;155[1]_2;6.71;240;240
29100;155[1]_3;3.98;156;180
29100;156[0]_0;24.54;240;240
29100;156[0]_1;13.62;144;120
29100;156[0]_2;3.91;36;48
29100;156[0]_3;;0;0
29100;156[1]_0;6.19;240;348
29100;156[1]_1;2.35;120;84
29100;156[1]_2;1.04;48;12
29100;156[1]_3;0.18;36;0
29100;157_0;17.24;540;744
29100;157_1;2.2;240;24
29100;157_2;3.48;180;168
29100;158_0;3.61;0;252
29100;158_1;5.58;336;132
29100;158_2;1.24;72;36
29100;16_0;3.26;108;108
29100;16_1;3.59;132;120
29100;161_0;12.51;408;384
29100;161_1;2.56;108;132
29100;163_0;4.22;96;96
29100;164_0;2.22;108;96
29100;165_0;8.49;240;240
29100;165_1;1.05;0;36
29100;166_0;0.13;0;12
29100;166_1;0.12;12;0
29100;167_0;67.68;204;168
29100;167_1;14.65;72;108
29100;168_0;26.63;96;108
29100;168_1;37.03;132;120
29100;17_0;2.14;120;24
29100;17_1;0.9;12;84
29100;172_0;4.11;144;144
29100;173_0;14.74;156;144
29100;173_1;8.43;48;48
29100;175_0;3.36;120;120
29100;175_1;1.24;48;48
29100;18_0;4.19;36;144
29100;18_1;6.4;276;168
29100;181[1][1][0].32.3_0;0.24;12;12
29100;181[1][1][0].32.3_1;5.39;420;0
29100;181[1][1][0].32.3_2;26.05;204;300
29100;181[1][1][0].32.3_3;18.44;516;840
29100;181[1][1][1][0]_0;0.29;12;12
29100;181[1][1][1][0]_1;;0;0
29100;181[1][1][1][0]_2;0.94;24;24
29100;181[1][1][1][0]_3;23.93;720;720
29100;181[1][1][1][1][0]_0;0.28;12;12
29100;181[1][1][1][1][0]_1;;0;0
29100;181[1][1][1][1][0]_2;1.04;24;24
29100;181[1][1][1][1][0]_3;22.9;720;720
29100;181[1][1][1][1][1][0]_0;0.29;12;12
29100;181[1][1][1][1][1][0]_1;;0;0
29100;181[1][1][1][1][1][0]_2;2.8;24;24
29100;181[1][1][1][1][1][0]_3;0.63;12;12
29100;181[1][1][1][1][1][0].76_0;;0;0
29100;181[1][1][1][1][1][0].76_1;117.59;84;156
29100;181[1][1][1][1][1][0].76_2;66.75;252;264
29100;181[1][1][1][1][1][0].76_3;26.56;660;576
29100;182_0;30.82;504;372
29100;182_1;20.78;204;288
29100;183.8_0;2.79;84;60
29100;183.8_1;4.37;84;72
29100;184_0;3.15;12;180
29100;184_1;5.86;348;240
29100;185_0;;0;0
29100;186_0;0.48;24;24
29100;186_1;0.91;36;36
29100;187_0;0.3;12;12
29100;19_0;;0;0
29100;19_1;;0;0
29100;2_0;2.07;180;84
29100;2_1;3.56;48;144
29100;20_0;4.8;36;180
29100;20_1;2.84;264;96
29100;21_0;;0;0
29100;21_1;;0;0
29100;22_0;56.44;360;192
29100;22_1;4.86;132;168
29100;24_0;;0;0
29100;24_1;;0;0
29100;25[0]_0;1.33;48;48
29100;25[0]_1;0.57;24;24
29100;25[1]_0;1.57;48;48
29100;25[1]_1;3.37;156;108
29100;26_0;39.96;264;120
29100;26_1;69.18;660;324
29100;27_0;2.3;48;84
29100;27_1;2.22;132;84
29100;28_0;30.46;192;264
29100;28_1;36.94;684;276
29100;29_0;7.45;228;192
29100;29_1;0.8;12;48
29100;30_0;38.21;504;336
29100;30_1;24.23;276;336
29100;31_0;4.23;192;96
29100;31_1;2.13;84;156
29100;32_0;36.38;300;432
