begin;laneDensity;lane_ids;inflow;outflow
29100;9.16;122[0]_2;696;240
29100;9.84;122[1]_0;336;528
29100;11.21;122[1]_1;540;528
29100;8.83;122[1]_2;528;276
29100;68.25;123_0;1608;36
29100;57.19;123_1;0;264
29100;54.42;123_2;0;636
29100;0.52;125_0;24;24
29100;;125_1;0;0
29100;2.36;126_0;36;48
29100;6.09;127_0;240;252
29100;6.45;127_1;132;252
29100;8.59;127_2;360;216
29100;4.29;128_0;192;192
29100;3.9;128_1;180;168
29100;27.66;129_0;768;288
29100;79.37;129_1;0;528
29100;2.25;13.1_0;0;192
29100;2.66;13.1_1;0;168
29100;4.2;13.1_2;0;252
29100;4.28;13.1_3;564;72
29100;1.77;130_0;72;84
29100;6.5;130_1;300;276
29100;32.06;131_0;672;264
29100;69.44;131_1;0;492
29100;36.67;132_0;888;360
29100;65.46;132_1;0;492
29100;0.81;133_0;36;36
29100;;133_1;0;0
29100;2.75;134.7_0;48;108
29100;1.12;134.7_1;108;36
29100;2.12;134.7_2;120;132
29100;3.5;135.7_0;132;180
29100;1.77;135.7_1;108;60
29100;0.29;135.7_2;12;12
29100;10.83;136_0;1140;156
29100;33.7;136_1;0;1008
29100;0.27;137.5_0;12;12
29100;;137.5_1;0;0
29100;8.76;138_0;348;288
29100;2.28;139_0;96;96
29100;0.44;14.3_0;0;24
29100;2.83;14.3_1;96;72
29100;8.43;140_0;300;444
29100;8.22;140_1;360;384
29100;8.28;140_2;360;396
29100;11.79;140_3;588;396
29100;76.58;141_0;876;372
29100;66;141_1;0;372
29100;5.14;142_0;768;108
29100;13.4;142_1;0;360
29100;5.2;142_2;0;276
29100;19.2;143.4_0;60;288
29100;5.98;143.4_1;252;108
29100;1.55;143.4_2;84;96
29100;;144_0;0;0
29100;;144_1;0;0
29100;4.61;144_2;192;228
29100;13.04;144.283_0;108;324
29100;13.07;144.283_1;504;264
29100;7.37;144.283_2;276;276
29100;2.77;144.312_0;84;132
29100;2.94;144.312_1;144;96
29100;;144.312_2;0;0
29100;62.07;145_0;648;564
29100;1.47;145_1;0;36
29100;0.06;145_2;0;0
29100;8.32;146_0;336;276
29100;8.84;146_1;228;288
29100;48.18;147_0;1020;384
29100;63.47;147_1;0;312
29100;68.35;147_2;0;312
29100;6.6;148_0;288;312
29100;3.04;148_1;156;120
29100;0.44;148_2;24;24
29100;28.4;149_0;348;408
29100;44.19;149_1;360;288
29100;53.54;149_2;432;576
29100;2.48;15_0;96;72
29100;0.61;15_1;0;36
29100;6.82;150_0;312;180
29100;1.85;150_1;48;108
29100;0.3;150_2;12;24
29100;32.1;151_0;216;300
29100;53.31;151_1;552;72
29100;52.8;151_2;552;276
29100;62.11;151_3;168;120
29100;7.37;152_0;192;276
29100;2.14;152_1;204;36
29100;0.02;152_2;0;48
29100;;152_3;0;0
29100;5.82;153_0;312;48
29100;10.53;153_1;312;612
29100;5.63;153_2;396;264
29100;8.72;154.7_0;360;228
29100;2.03;154.7_1;72;180
29100;0.05;154.7_2;12;0
29100;0.3;155[0].4_0;24;12
29100;24;155[0].4_1;624;312
29100;6.68;155[0].4_2;108;252
29100;6.44;155[0].4_3;168;156
29100;;155[1]_0;0;0
29100;16.49;155[1]_1;552;528
29100;6.71;155[1]_2;240;240
29100;3.98;155[1]_3;156;180
29100;24.54;156[0]_0;240;240
29100;13.62;156[0]_1;144;120
29100;3.91;156[0]_2;36;48
29100;;156[0]_3;0;0
29100;6.19;156[1]_0;240;348
29100;2.35;156[1]_1;120;84
29100;1.04;156[1]_2;48;12
29100;0.18;156[1]_3;36;0
29100;17.24;157_0;540;744
29100;2.2;157_1;240;24
29100;3.48;157_2;180;168
29100;3.61;158_0;0;252
29100;5.58;158_1;336;132
